"vectorZ","resultados"
50.146001193380044,51.360209409050654+6.821881769209206*I
79.59064007963522,52.742697990382474+6.821881769209206*I
21.583230909739797,47.97286532165444+6.821881769209206*I
19.988898886077862,47.51920006941582+6.821881769209206*I
41.35383995391584,50.72274426695513+6.821881769209206*I
39.92474400932673,50.60105396722538+6.821881769209206*I
86.57542415777263,52.97882758661649+6.821881769209206*I
53.92057536777338,51.589190472446916+6.821881769209206*I
46.20298151993467,51.095021959720945+6.821881769209206*I
4.691218812487506,46.99382935189013
50.36947505284158,51.37439462969242+6.821881769209206*I
95.11610284493236,53.23859122762472+6.821881769209206*I
62.865012362859886,52.05742015459384+6.821881769209206*I
54.511258034918484,51.62311740080455+6.821881769209206*I
93.6288604259851,53.195378168292564+6.821881769209206*I
27.63549092324395,49.18147302168771+6.821881769209206*I
73.75875289128828,52.52560906807466+6.821881769209206*I
20.261539713433876,47.60312360379717+6.821881769209206*I
88.7772535097638,53.048598252025876+6.821881769209206*I
89.23716120257095,53.06291330148257+6.821881769209206*I
0.8928197094779193,46.51255965636284
84.22365869549736,52.90194211544471+6.821881769209206*I
62.46732993959853,52.0384476120107+6.821881769209206*I
37.62797433910387,50.39161020692746+6.821881769209206*I
69.87063164143851,52.368922685178546+6.821881769209206*I
56.190768449421086,51.717027146178644+6.821881769209206*I
62.966066306464654,52.06221715182399+6.821881769209206*I
24.969832262370545,48.72150326876478+6.821881769209206*I
81.21725281028858,52.7998432687706+6.821881769209206*I
32.21236400994013,49.811184348553105+6.821881769209206*I
64.08008586524863,52.11446653491329+6.821881769209206*I
88.18123060740504,53.02991556586976+6.821881769209206*I
64.48330142090211,52.13309797822518+6.821881769209206*I
97.28605262273658,53.30024298077656+6.821881769209206*I
7.522314311424807,46.281013950998585
64.54175291728819,52.1357867517671+6.821881769209206*I
63.85086583692532,52.10380932856256+6.821881769209206*I
57.023349579559124,51.762244197613455+6.821881769209206*I
24.450219567606467,48.62067277790974+6.821881769209206*I
7.235167499072915,46.38100214149391
35.23465345937933,50.152100777520054+6.821881769209206*I
93.82769342297908,53.2012018277489+6.821881769209206*I
25.764678884886678,48.868036527246815+6.821881769209206*I
53.0285278607885,51.53702224471563+6.821881769209206*I
20.829518145812727,47.76904340143655+6.821881769209206*I
68.90686208472499,52.32842310556643+6.821881769209206*I
26.905048180956143,49.06387775955177+6.821881769209206*I
26.529270258907772,49.001078572973626+6.821881769209206*I
38.679462289135444,50.48975935655917+6.821881769209206*I
13.329799313054863,42.31389863800652+6.821881769209206*I
39.8949366536537,50.59844917654758+6.821881769209206*I
74.58392017946159,52.55756611838063+6.821881769209206*I
31.888254848272624,49.771599493423544+6.821881769209206*I
82.9628469905918,52.859662868600154+6.821881769209206*I
17.666519730154647,46.65096020717399+6.821881769209206*I
66.66250060494869,52.23133465571589+6.821881769209206*I
54.53439362013577,51.62443646772956+6.821881769209206*I
80.12527924009649,52.76163412941134+6.821881769209206*I
82.57737117912512,52.84658331490584+6.821881769209206*I
70.45976638521216,52.39334212316806+6.821881769209206*I
77.32651332203471,52.660774161735986+6.821881769209206*I
